ANO,1,2,3,4,5,6,7,8,9,10,11,12,Producao
2007,261.8,201.8,145.8,63.6,52.8,8.0,223.2,15.4,30.0,104.8,149.2,228.8,26853816.21
2008,118.2,128.0,133.4,164.2,100.2,34.0,8.2,189.0,147.8,118.0,51.6,0.0,27844882.93
2009,118.8,145.8,50.4,66.2,73.2,25.8,77.4,203.2,229.8,0.0,0.0,0.0,21026183.43
2010,126.6,181.8,34.6,0.2,10.0,27.8,107.6,131.2,0.0,0.0,0.0,0.0,28254855.11
2011,184.4,305.0,244.0,94.6,12.8,136.0,127.0,59.6,29.0,205.4,110.8,42.4,28606138.07
2012,135.4,175.0,62.6,143.8,74.4,286.8,19.2,2.6,67.2,52.2,89.4,79.6,27853956.15
2013,96.8,373.2,205.2,148.6,170.6,283.2,52.6,2.2,72.4,212.8,70.8,45.0,33625731.81
2014,166.6,180.0,324.8,130.4,114.6,127.0,120.2,41.8,130.0,54.6,121.8,211.8,31160941.68
2015,233.2,205.8,275.6,83.8,158.8,10.2,329.0,47.0,174.2,196.4,228.0,220.6,33973889.02
2016,280.8,240.8,90.0,94.6,73.2,60.0,112.4,56.6,128.2,26.6,176.0,34.0,30667639.49
2017,303.8,135.8,146.0,146.2,278.6,98.0,0.0,130.6,20.2,225.8,113.6,165.4,38373040.66
2018,325.0,118.6,167.0,24.6,44.4,62.4,0.0,229.6,129.4,289.2,155.8,95.4,31667635.62
2019,187.4,118.0,0.0,45.6,62.4,80.2,31.6,0.6,58.8,105.6,43.6,360.0,33571221.61
2020,154.0,144.2,0.2,0.0,54.8,143.8,22.8,164.2,9.2,138.8,32.6,141.6,36975515.29
